      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 14   00:22:28   3633      0   01:52:50   4601      0
 13   00:30:44   2238      0   00:37:58   1471      0
 12   01:51:08   6580      0   03:08:50   3281      0
 11   00:29:58   3821      0   00:35:04   2728      0
 10   01:21:12   5728      0       >24h  38451      0
  9   00:25:27   5013      0   00:30:12   4518      0
  8   00:08:32   1670      0   01:22:30   6532      0
  7   01:08:33   7701      0   01:18:10   5354      0
  6   00:12:24   3837      0   00:14:24   2610      0
  5   00:36:33   4153      0   01:49:48   3895      0
  4   00:17:01   6447      0   00:29:18   4230      0
  3   00:23:08   1969      0   00:39:46   2396      0
  2   23:47:32  98059      0   23:53:01  93896      0
  1   00:51:52  12651      0   01:41:17  10149      0
